numtc,step,date,lon,lat,vmax,pmin
1,1,2011-05-03 00:00:00,-91.8,10.4,24.69,995.78
1,2,2011-05-03 06:00:00,-92.8,10.4,22.877,996.52
1,3,2011-05-03 12:00:00,-93.8,10.4,25.974,995.29
1,4,2011-05-03 18:00:00,-94.6,10.4,27.515,993.1
1,5,2011-05-04 00:00:00,-95.6,10.4,30.611,990.4
2,1,2011-06-03 06:00:00,-53.0,27.8,20.588,1001.99
2,2,2011-06-03 12:00:00,-52.0,28.4,20.531,998.95
2,3,2011-06-03 18:00:00,-50.8,29.0,19.807,998.35
2,4,2011-06-04 00:00:00,-49.6,29.8,19.773,996.16
3,1,2011-07-17 06:00:00,-94.0,10.4,22.728,998.76
3,2,2011-07-17 12:00:00,-94.6,9.6,25.057,997.79
3,3,2011-07-17 18:00:00,-94.8,9.2,26.681,994.69
3,4,2011-07-18 00:00:00,-95.4,9.0,25.664,994.46
3,5,2011-07-18 06:00:00,-96.4,9.0,27.33,993.59
3,6,2011-07-18 12:00:00,-97.2,9.2,30.911,989.68
3,7,2011-07-18 18:00:00,-98.2,9.6,31.462,989.3
3,8,2011-07-19 00:00:00,-99.4,10.0,31.637,989.77
4,1,2011-07-31 18:00:00,-60.2,15.8,19.348,1007.94
4,2,2011-08-01 00:00:00,-62.4,16.4,22.805,1004.31
4,3,2011-08-01 06:00:00,-65.0,17.0,25.3,1003.44
4,4,2011-08-01 12:00:00,-67.4,17.2,23.982,1001.76
4,5,2011-08-01 18:00:00,-69.2,17.6,21.995,1004.05
5,1,2011-08-04 00:00:00,-74.2,22.0,24.483,995.48
5,2,2011-08-04 06:00:00,-74.0,22.6,27.849,991.76
5,3,2011-08-04 12:00:00,-74.2,23.4,31.629,986.44
5,4,2011-08-04 18:00:00,-74.6,24.0,36.617,982.42
5,5,2011-08-05 00:00:00,-74.6,24.8,38.028,978.72
5,6,2011-08-05 06:00:00,-74.8,25.4,41.202,975.44
5,7,2011-08-05 12:00:00,-75.2,26.0,43.994,972.0
5,8,2011-08-05 18:00:00,-75.6,26.6,45.157,970.4
5,9,2011-08-06 00:00:00,-76.0,27.0,44.787,971.19
5,10,2011-08-06 06:00:00,-76.6,27.4,45.371,971.13
5,11,2011-08-06 12:00:00,-77.0,27.8,46.421,967.45
5,12,2011-08-06 18:00:00,-77.6,28.2,51.217,955.91
5,13,2011-08-07 00:00:00,-78.2,28.8,53.91,949.0
5,14,2011-08-07 06:00:00,-78.6,29.2,51.772,953.4
5,15,2011-08-07 12:00:00,-79.0,29.4,50.196,953.12
5,16,2011-08-07 18:00:00,-79.2,29.4,49.66,951.87
5,17,2011-08-08 00:00:00,-79.0,29.6,52.434,946.01
5,18,2011-08-08 06:00:00,-78.6,29.8,54.316,942.98
6,1,2011-08-27 12:00:00,-0.4,15.2,21.792,993.61
6,2,2011-08-27 18:00:00,-1.6,15.4,23.814,992.07
6,3,2011-08-28 00:00:00,-3.0,15.6,24.331,991.71
6,4,2011-08-28 06:00:00,-4.4,15.8,27.172,988.74
