numtc,step,date,lon,lat,vmax,pmin
1,1,1989-03-21 06:00:00,-51.6,24.6,22.365,999.58
1,2,1989-03-21 12:00:00,-52.0,24.6,23.84,995.67
1,3,1989-03-21 18:00:00,-52.2,24.2,25.867,994.83
1,4,1989-03-22 00:00:00,-52.4,24.0,28.551,992.81
1,5,1989-03-22 06:00:00,-52.8,24.2,29.0,992.17
1,6,1989-03-22 12:00:00,-53.4,24.6,30.498,986.93
1,7,1989-03-22 18:00:00,-54.4,24.8,28.772,986.8
1,8,1989-03-23 00:00:00,-55.2,25.2,34.787,982.27
1,9,1989-03-23 06:00:00,-55.8,25.4,39.216,976.74
1,10,1989-03-23 12:00:00,-56.4,25.4,40.584,972.51
1,11,1989-03-23 18:00:00,-57.2,25.8,42.803,971.22
1,12,1989-03-24 00:00:00,-58.2,25.8,45.089,968.16
1,13,1989-03-24 06:00:00,-58.8,25.6,44.563,970.23
1,14,1989-03-24 12:00:00,-59.6,25.4,42.788,972.05
1,15,1989-03-24 18:00:00,-60.2,25.4,44.776,971.59
1,16,1989-03-25 00:00:00,-61.0,25.4,46.34,970.32
1,17,1989-03-25 06:00:00,-61.6,25.6,43.297,971.97
1,18,1989-03-25 12:00:00,-62.0,25.8,42.512,971.13
1,19,1989-03-25 18:00:00,-62.2,26.4,43.463,969.87
1,20,1989-03-26 00:00:00,-62.0,27.2,45.731,967.41
1,21,1989-03-26 06:00:00,-61.6,28.2,44.277,966.96
1,22,1989-03-26 12:00:00,-60.8,28.8,44.348,963.0
1,23,1989-03-26 18:00:00,-59.8,29.4,44.59,961.89
1,24,1989-03-27 00:00:00,-58.4,29.8,46.285,959.65
2,1,1989-06-06 12:00:00,-90.0,10.0,17.993,1003.67
2,2,1989-06-06 18:00:00,-91.0,10.4,20.618,1000.05
2,3,1989-06-07 00:00:00,-92.0,10.6,26.544,994.93
2,4,1989-06-07 06:00:00,-92.8,11.0,31.449,987.72
2,5,1989-06-07 12:00:00,-93.8,11.4,37.869,977.65
2,6,1989-06-07 18:00:00,-94.8,11.6,44.755,968.35
2,7,1989-06-08 00:00:00,-95.8,12.0,46.176,966.47
2,8,1989-06-08 06:00:00,-96.6,12.4,47.572,963.36
2,9,1989-06-08 12:00:00,-97.8,12.8,49.182,964.18
2,10,1989-06-08 18:00:00,-98.8,13.2,48.421,963.62
3,1,1989-06-23 06:00:00,-97.8,14.0,19.06,1006.37
3,2,1989-06-23 12:00:00,-98.0,14.0,19.655,1005.42
3,3,1989-06-23 18:00:00,-97.6,14.4,20.337,1002.79
3,4,1989-06-24 00:00:00,-97.4,14.4,26.165,995.65
3,5,1989-06-24 06:00:00,-97.2,14.4,31.674,987.5
3,6,1989-06-24 12:00:00,-97.0,14.4,32.903,986.61
3,7,1989-06-24 18:00:00,-97.2,14.4,29.282,991.42
3,8,1989-06-25 00:00:00,-97.6,14.4,27.867,992.56
3,9,1989-06-25 06:00:00,-97.8,13.8,26.129,993.01
3,10,1989-06-25 12:00:00,-98.2,13.4,28.759,990.1
3,11,1989-06-25 18:00:00,-98.6,13.0,31.627,987.17
3,12,1989-06-26 00:00:00,-98.8,12.8,32.861,984.23
3,13,1989-06-26 06:00:00,-99.4,12.8,32.551,982.75
4,1,1989-07-16 18:00:00,-44.0,29.0,26.569,1004.85
4,2,1989-07-17 00:00:00,-45.8,28.8,29.883,999.25
4,3,1989-07-17 06:00:00,-47.6,28.8,33.085,995.87
4,4,1989-07-17 12:00:00,-49.6,29.0,36.322,991.35
4,5,1989-07-17 18:00:00,-51.6,29.4,36.451,989.86
5,1,1989-07-29 06:00:00,-88.0,10.8,21.98,1000.46
5,2,1989-07-29 12:00:00,-88.8,11.4,23.519,997.13
5,3,1989-07-29 18:00:00,-89.6,11.8,26.087,994.36
5,4,1989-07-30 00:00:00,-90.4,12.4,28.715,992.72
5,5,1989-07-30 06:00:00,-91.2,13.4,28.35,994.42
6,1,1989-08-07 18:00:00,-86.4,28.0,19.143,1001.78
6,2,1989-08-08 00:00:00,-86.6,28.0,19.085,1001.31
6,3,1989-08-08 06:00:00,-86.6,28.2,18.382,999.82
6,4,1989-08-08 12:00:00,-86.4,28.2,20.376,998.7
6,5,1989-08-08 18:00:00,-86.4,28.6,22.641,996.22
6,6,1989-08-09 00:00:00,-86.0,29.2,27.934,991.83
6,7,1989-08-09 06:00:00,-85.4,29.8,26.51,988.26
7,1,1989-08-19 18:00:00,-18.0,15.0,20.077,999.37
7,2,1989-08-20 00:00:00,-19.0,15.4,26.073,994.22
7,3,1989-08-20 06:00:00,-20.2,15.8,31.639,986.82
7,4,1989-08-20 12:00:00,-21.2,16.2,32.924,981.1
7,5,1989-08-20 18:00:00,-22.2,16.8,40.718,974.31
7,6,1989-08-21 00:00:00,-23.6,17.4,43.127,967.69
7,7,1989-08-21 06:00:00,-24.8,17.8,47.004,965.54
7,8,1989-08-21 12:00:00,-26.0,18.2,44.476,966.03
7,9,1989-08-21 18:00:00,-27.2,18.6,44.92,967.36
7,10,1989-08-22 00:00:00,-28.4,19.0,43.316,970.79
7,11,1989-08-22 06:00:00,-29.4,19.4,42.059,973.69
7,12,1989-08-22 12:00:00,-30.6,19.8,40.718,974.03
7,13,1989-08-22 18:00:00,-31.8,20.4,39.891,977.6
7,14,1989-08-23 00:00:00,-32.8,20.8,37.448,980.0
7,15,1989-08-23 06:00:00,-34.0,21.4,35.72,984.28
7,16,1989-08-23 12:00:00,-35.0,21.8,35.277,983.35
7,17,1989-08-23 18:00:00,-36.2,22.4,37.307,982.91
7,18,1989-08-24 00:00:00,-37.0,23.0,37.061,980.72
